pathway,pvalue,overlap_count,overlap_genes
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.0071780322907769286,11,"ANAPC1,HSP90AB1,CCNB1,CDC25B,CDK1,CCNB2,ADCY3,BUB1,CDC25C,PLK1,CCNA2"
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.007427708211661721,15,"ANAPC1,TRIM37,UBR5,HUWE1,HERC1,UBE3A,CUL4B,UBE4A,FANCL,PIAS1,CDC20,UBE2C,MDM2,BRCA1,CBLB"
KEGG_PROSTATE_CANCER,0.025362550911047964,10,"BCL2,LEF1,HSP90AB1,CREBBP,FOXO1,E2F2,CCNE2,RB1,MDM2,PDGFRA"
KEGG_BLADDER_CANCER,0.027249254760424346,6,"RPS6KA5,DAPK1,E2F2,DAPK2,RB1,MDM2"
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.03342484739149619,6,"PCCB,HADHB,ACADSB,MCCC1,PCCA,HIBADH"
KEGG_ECM_RECEPTOR_INTERACTION,0.0427662957351816,9,"RELN,LAMB3,CD47,ITGB7,SPP1,HMMR,SDC1,LAMA3,ITGA1"
KEGG_PYRIMIDINE_METABOLISM,0.04502257390836017,10,"UPB1,POLD3,RRM2,POLR2A,RRM1,PRIM2,UPP1,ENTPD5,CAD,POLE2"
KEGG_AXON_GUIDANCE,0.054633805650785745,12,"NTNG1,NRP1,SRGAP3,PAK1,ROBO1,SRGAP2,PLXNC1,EPHA4,SEMA3E,NFAT5,ROCK2,SEMA4A"
KEGG_COLORECTAL_CANCER,0.05495711765016834,7,"BCL2,LEF1,MSH3,MSH2,BIRC5,SMAD3,FOS"
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.05545081372988477,3,"CS,MTHFD1,ACO1"
KEGG_GLUTATHIONE_METABOLISM,0.05708687385628915,6,"GCLM,MGST1,RRM1,RRM2,G6PD,GSR"
KEGG_SPHINGOLIPID_METABOLISM,0.06280155204695807,5,"ACER2,ACER3,GAL3ST1,SMPD3,NEU3"
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.0772946961772559,6,"PLCG2,ISYNA1,PIK3C2A,PLCE1,PIKFYVE,OCRL"
KEGG_INSULIN_SIGNALING_PATHWAY,0.07839323149558194,12,"PRKAR2B,LIPE,IRS1,SORBS1,PHKA1,PHKA2,PRKAA2,FOXO1,PPARGC1A,PPP1CC,SHC4,CBLB"
KEGG_FATTY_ACID_METABOLISM,0.08120753981435998,5,"CPT1A,ACADSB,HADHB,CPT2,ECI2"
KEGG_PANCREATIC_CANCER,0.09237204496951928,7,"RAD51,STAT3,SMAD3,E2F2,JAK1,BRCA2,RB1"
KEGG_RNA_DEGRADATION,0.10750605934732624,6,"EXOSC10,DIS3,CNOT1,DCP1A,TTC37,HSPD1"
KEGG_ERBB_SIGNALING_PATHWAY,0.10913097344484231,8,"PAK1,ERBB4,PLCG2,NRG1,STAT5A,SHC4,GAB1,CBLB"
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.10933346802656162,7,"SMAD3,E2F2,STAT5A,SHC4,RB1,MDM2,CBLB"
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.12677224541412105,4,"TAF1,TAF4B,GTF2H2,GTF2A1"
KEGG_GLIOMA,0.15055302661779962,6,"PLCG2,E2F2,SHC4,RB1,MDM2,PDGFRA"
KEGG_NON_HOMOLOGOUS_END_JOINING,0.16007988430434486,2,"PRKDC,POLM"
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.16639079567471032,6,"JAK2,IRS1,CPT1A,STAT3,PRKAA2,PPARGC1A"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.18024092591863367,2,"B3GALT5,HEXB"
KEGG_SMALL_CELL_LUNG_CANCER,0.18403267374941792,7,"BCL2,LAMB3,CCNE2,E2F2,PIAS1,LAMA3,RB1"
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.18660504753637214,3,"PRPS2,TKT,G6PD"
KEGG_BASAL_CELL_CARCINOMA,0.18818294711228475,5,"LEF1,BMP2,GLI3,DVL3,WNT2B"
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.19169140784391403,7,"BMP6,CREBBP,SMAD3,SP1,BMP2,RBL1,ROCK2"
KEGG_ENDOCYTOSIS,0.20559324489093564,13,"HSPA6,ASAP1,ERBB4,AP2B1,ACAP2,STAM,DNAJC6,PIKFYVE,SH3GL2,MDM2,PDGFRA,PSD,CBLB"
KEGG_WNT_SIGNALING_PATHWAY,0.2109150975674779,11,"PPP2R5A,LEF1,TBL1X,CREBBP,SMAD3,DVL3,SFRP1,NFAT5,ROCK2,DKK1,WNT2B"
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.2215072802171404,2,"UPB1,ENPP1"
KEGG_OTHER_GLYCAN_DEGRADATION,0.2215072802171404,2,"HEXB,NEU3"
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.22600202574778103,4,"DYNC2H1,DYNC1H1,DCTN4,ADCY3"
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.24242166451044117,2,"MTHFD1,DHFR"
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.2606473884317699,3,"CAD,ALDH5A1,PPAT"
KEGG_NOTCH_SIGNALING_PATHWAY,0.26266961532028266,4,"NOTCH1,DVL3,CREBBP,DTX3L"
KEGG_PHENYLALANINE_METABOLISM,0.26341218959628254,2,"ALDH3B1,AOC2"
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.2648768466836407,9,"BCL2,IRS1,PLCG2,RPS6KA5,NTRK3,MAP2K5,ZNF274,SHC4,GAB1"
KEGG_SPLICEOSOME,0.27231670985935197,9,"HSPA6,PRPF38A,SF3A1,SNRNP200,THOC2,PRPF8,AQR,SF3B1,SF3B3"
KEGG_PROPANOATE_METABOLISM,0.27593096999865974,3,"PCCB,PCCA,ACSS1"
KEGG_BUTANOATE_METABOLISM,0.2912993921755617,3,"AKR1B10,ALDH5A1,L2HGDH"
KEGG_FOCAL_ADHESION,0.3114179931819721,13,"BCL2,RELN,LAMB3,PAK1,ITGB7,SPP1,ARHGAP5,PPP1CC,SHC4,LAMA3,ROCK2,PDGFRA,ITGA1"
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.3261522268451761,2,"HPSE,HEXB"
KEGG_BETA_ALANINE_METABOLISM,0.3467954757791075,2,"UPB1,AOC2"
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.3467954757791075,2,"ELOVL6,ELOVL2"
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.37696105919247375,4,"GLI3,BMP6,BMP2,WNT2B"
KEGG_ADHERENS_JUNCTION,0.38072555203443054,5,"LEF1,SORBS1,CREBBP,SMAD3,CTNND1"
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.3873964345418547,2,"NUDT12,ENPP1"
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.3873964345418547,2,"NOTCH1,ETV7"
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.4141468832945411,5,"PLCG2,PIK3C2A,PLCE1,PIKFYVE,OCRL"
KEGG_SELENOAMINO_ACID_METABOLISM,0.4268442574781373,2,"AHCYL1,PAPSS2"
KEGG_PEROXISOME,0.4362788348241074,5,"HACL1,ECI2,NUDT12,EPHX2,FAR2"
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.4422541910756577,6,"ASAP1,PAK1,PLCG2,AMPH,MYO10,PIKFYVE"
KEGG_LYSINE_DEGRADATION,0.444005456563132,3,"SETDB2,SETDB1,ASH1L"
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.464888392026012,7,"ITGAM,CLDN23,TXK,PLCG2,CTNND1,ARHGAP5,ROCK2"
KEGG_FOLATE_BIOSYNTHESIS,0.46616832585361495,1,DHFR
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.49249605459012563,9,"JAK2,STAT3,CREBBP,STAM,JAK1,STAT5A,PIAS1,IL6R,CBLB"
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.5191014507011209,2,"CS,ACO1"
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.5191014507011209,2,"AOC2,DMGDH"
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.5197815738583635,12,"MYH10,ITGAM,PAK1,ITGB7,PPP1CC,GNA13,PIKFYVE,DIAPH2,ROCK2,PDGFRA,ITGA1,IQGAP3"
KEGG_SULFUR_METABOLISM,0.523761056456683,1,PAPSS2
KEGG_PPAR_SIGNALING_PATHWAY,0.5369112698022876,4,"SORBS1,CPT1A,GK,CPT2"
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.5430142620275172,3,"UPB1,UPP1,GMPS"
KEGG_RENAL_CELL_CARCINOMA,0.5484064250420576,4,"CREBBP,PAK1,GAB1,ARNT2"
KEGG_MELANOMA,0.5597504131925307,4,"E2F2,RB1,MDM2,PDGFRA"
KEGG_GAP_JUNCTION,0.5632008887534541,5,"CDK1,ADCY3,GJA1,MAP2K5,PDGFRA"
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.5694962936185596,2,"PFKFB2,AKR1B10"
KEGG_LEISHMANIA_INFECTION,0.5709381336730742,4,"JAK2,ITGAM,JAK1,FOS"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,0.5751453575952907,1,HEXB
KEGG_VIBRIO_CHOLERAE_INFECTION,0.5822012594998103,3,"MUC2,PLCG2,ADCY3"
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.5822012594998103,3,"E2F2,RB1,PLCG2"
KEGG_PRION_DISEASES,0.5854218985539611,2,"NOTCH1,C5"
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.5928266751496254,4,"LEF1,GJA1,ITGA1,ITGB7"
KEGG_RIBOFLAVIN_METABOLISM,0.5987212294205007,1,ENPP1
KEGG_ACUTE_MYELOID_LEUKEMIA,0.6191861084431218,3,"LEF1,STAT3,STAT5A"
KEGG_CALCIUM_SIGNALING_PATHWAY,0.6529296258677963,9,"ERBB4,PLCG2,PHKA1,PHKA2,GRIN2A,ADCY3,PDE1A,PLCE1,PDGFRA"
KEGG_PYRUVATE_METABOLISM,0.6584576781471604,2,"ME2,ACSS1"
KEGG_MELANOGENESIS,0.6654558764889578,5,"LEF1,CREBBP,ADCY3,DVL3,WNT2B"
KEGG_LYSOSOME,0.6681220202011794,6,"CTSV,TPP1,PPT1,GNPTAB,CTSC,HEXB"
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.671762705017574,2,"FARSB,DARS2"
KEGG_HUNTINGTONS_DISEASE,0.672455075779122,9,"AP2B1,POLR2A,CREBBP,PPARGC1A,SP1,HIP1,TAF4B,DCTN4,DNALI1"
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.6846439628824501,2,"IRS1,SCNN1A"
KEGG_TYROSINE_METABOLISM,0.6846439628824501,2,"ALDH3B1,AOC2"
KEGG_RETINOL_METABOLISM,0.6965196483317686,3,"DGAT2,DHRS3,CYP26B1"
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.7091599713953283,2,"GNPDA1,HEXB"
KEGG_ABC_TRANSPORTERS,0.7091599713953283,2,"ABCA5,ABCG2"
KEGG_APOPTOSIS,0.7178233010930614,4,"BCL2,PRKAR2B,ATM,ENDOD1"
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.7440631134585847,3,"C1R,TFPI,C5"
KEGG_TIGHT_JUNCTION,0.7467661986651674,6,"MYH10,CLDN23,PPP2R2B,ASH1L,MAGI3,EPB41L2"
KEGG_LONG_TERM_POTENTIATION,0.7528238607011156,3,"CREBBP,PPP1CC,GRIN2A"
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.7599835229166834,1,HHEX
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.7599835229166834,1,PGAP1
KEGG_GLYCEROLIPID_METABOLISM,0.7635239651988106,2,"GK,DGAT2"
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.7709330594228391,5,"PPP1R12B,PPP1CC,ADCY3,GNA13,ROCK2"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.7733090935342251,1,B3GALT5
KEGG_TASTE_TRANSDUCTION,0.7917283589430734,2,"PDE1A,SCNN1A"
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.7930539403893319,3,"NFAT5,FOS,PLCG2"
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.7977836119569591,1,XYLB
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.8004479994547948,2,"BCL2,GRIN2A"
KEGG_THYROID_CANCER,0.8090122307402423,1,LEF1
KEGG_HISTIDINE_METABOLISM,0.8090122307402423,1,ALDH3B1
KEGG_LINOLEIC_ACID_METABOLISM,0.8090122307402423,1,AKR1B10
KEGG_RNA_POLYMERASE,0.8090122307402423,1,POLR2A
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.8169199279512555,2,"ADAR,IL33"
KEGG_O_GLYCAN_BIOSYNTHESIS,0.819617880738193,1,GALNT9
KEGG_ARACHIDONIC_ACID_METABOLISM,0.8393477160003864,2,"EPHX2,CBR3"
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.845969771103338,3,"PRKAA2,ITGA1,ITGB7"
KEGG_ETHER_LIPID_METABOLISM,0.848032891851386,1,ENPP2
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.8560524667859015,4,"NFAT5,PAK1,FOS,CBLB"
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.8564733948281382,1,AHCYL1
KEGG_REGULATION_OF_AUTOPHAGY,0.8644454976597316,1,PRKAA2
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.8653750199209682,2,"TAB3,HSP90AB1"
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.8653750199209682,2,"ALDH3B1,ACSS1"
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.8667446564664775,5,"CNTNAP1,ITGAM,CLDN23,ITGB7,SDC1"
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.8677236907587597,3,"ITGAM,IL6R,ITGA1"
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.8727204442159031,3,"HSPA6,CD74,HSP90AB1"
KEGG_DILATED_CARDIOMYOPATHY,0.8822149751392543,3,"ITGB7,ITGA1,ADCY3"
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.8858040048640414,1,STX17
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.8972241619967332,2,"PAK1,PLCG2"
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.903799731845247,1,CP
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.906177671032939,2,"ALDH3B1,MGST1"
KEGG_TYPE_I_DIABETES_MELLITUS,0.9141935064327444,1,HSPD1
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.9143974001513416,2,"ALDH3B1,MGST1"
KEGG_VEGF_SIGNALING_PATHWAY,0.9288483109545919,2,"NFAT5,PLCG2"
KEGG_TYPE_II_DIABETES_MELLITUS,0.931735873914325,1,IRS1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.9320830177030534,2,"LPGAT1,GPD2"
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.9355300359866456,1,ITGB7
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.9487133670006732,1,ENPP1
KEGG_MTOR_SIGNALING_PATHWAY,0.9487133670006732,1,PRKAA2
KEGG_ENDOMETRIAL_CANCER,0.9487133670006732,1,LEF1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.9497278316538003,4,"SHC4,PAK1,PLCG2,NFAT5"
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.9542487879654421,6,"JAK2,PAK1,STAT3,ADCY3,SHC4,ROCK2"
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.9592027918829819,1,ROCK2
KEGG_MAPK_SIGNALING_PATHWAY,0.9634932966092843,9,"HSPA6,PAK1,CDC25B,RPS6KA5,FOS,DUSP16,MAP2K5,STMN1,PDGFRA"
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.9794552807223392,2,"SPP1,FOS"
KEGG_VIRAL_MYOCARDITIS,0.9816911637309955,1,MYH10
KEGG_LONG_TERM_DEPRESSION,0.9816911637309955,1,GNA13
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.9827099544696972,1,RNF125
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.9843653187077973,3,"C1R,C5,GRIN2A"
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.9890646404436257,1,PLCG2
KEGG_GNRH_SIGNALING_PATHWAY,0.9969007234670667,1,ADCY3
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.999404914747067,5,"OPRL1,GRIN2A,GABRE,S1PR1,TRPV1"
KEGG_ALZHEIMERS_DISEASE,0.9999215177284406,1,GRIN2A
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.9999655048772277,3,"IL6R,PDGFRA,BMP2"
KEGG_OLFACTORY_TRANSDUCTION,0.9999999998159216,1,ADCY3
