ensembl_gene_id,RPE1_baseline,K562_Ess_baseline,K562_GWPS_baseline,gene_name
ENSG00000007080,1.5572113,1.7892226,1.2824477,CCDC124
ENSG00000007168,1.715922,0.995581,0.72055,PAFAH1B1
ENSG00000007202,0.48950824,0.6117294,0.49016505,KIAA0100
ENSG00000007255,,0.65588975,0.92035687,TRAPPC6A
ENSG00000007264,,1.0732195,1.0313331,MATK
ENSG00000007341,0.17448658,0.2141794,0.18272959,ST7L
ENSG00000007372,0.38216665,0.22975037,0.25312963,PAX6
ENSG00000007376,0.40493676,0.51063263,0.36706,RPUSD1
ENSG00000007384,0.14343831,,,RHBDF1
ENSG00000007392,0.48548105,1.0257497,0.67610437,LUC7L
ENSG00000007520,1.0278881,0.88219863,0.6290559,TSR3
ENSG00000007541,0.16697049,0.21028224,0.17059381,PIGQ
ENSG00000007545,,0.13392898,0.10180594,CRAMP1
ENSG00000007866,0.10449561,,,TEAD3
ENSG00000007923,0.3399782,0.57446,0.42097735,DNAJC11
ENSG00000007944,,0.30697677,0.29780725,MYLIP
ENSG00000007968,,0.14218672,0.12568599,E2F2
ENSG00000008018,5.5879464,8.236506,6.1186876,PSMB1
ENSG00000008083,0.4673296,0.9411823,0.8154397,JARID2
ENSG00000008128,0.23371977,0.32776546,0.27234462,CDK11A
ENSG00000008130,0.30240506,0.4917235,0.3905757,NADK
ENSG00000008196,,0.29661325,0.24737994,TFAP2B
ENSG00000008282,1.1743225,1.0201708,0.7638498,SYPL1
ENSG00000008283,0.1791094,0.19024478,0.1452485,CYB561
ENSG00000008294,1.5750157,0.98647845,0.77667,SPAG9
ENSG00000008311,0.235455,,,AASS
ENSG00000008324,0.5345401,1.7113405,1.2312936,SS18L2
ENSG00000008394,8.266477,2.202677,1.4723176,MGST1
ENSG00000008405,0.122215055,0.16224502,0.12100536,CRY1
ENSG00000008441,1.2696648,,,NFIX
ENSG00000008513,0.29903492,,,ST3GAL1
ENSG00000008710,0.16711354,0.13499749,0.112971015,PKD1
ENSG00000008838,0.21839415,0.5960426,0.4364147,MED24
ENSG00000008869,,0.14474668,0.11305828,HEATR5B
ENSG00000008952,1.8401899,1.5298073,1.1843915,SEC62
ENSG00000008988,15.224064,14.10954,13.090869,RPS20
ENSG00000009307,4.712901,5.2483177,3.8097038,CSDE1
ENSG00000009335,0.47087544,0.52629703,0.38975993,UBE3C
ENSG00000009413,0.6192003,0.67335695,0.5119096,REV3L
ENSG00000009780,0.118501574,0.13603216,0.10784434,FAM76A
ENSG00000009830,0.1249122,,,POMT2
ENSG00000009844,0.634264,0.6458099,0.4647982,VTA1
ENSG00000009954,2.2062228,2.3434145,1.7454667,BAZ1B
ENSG00000010017,0.3510653,0.7656873,0.57050717,RANBP9
ENSG00000010072,0.15681493,0.41457832,0.32105222,SPRTN
ENSG00000010165,0.25066122,0.6667361,0.4844446,EEF1AKNMT
ENSG00000010219,0.5886495,0.12721857,0.1133791,DYRK4
ENSG00000010244,1.653211,3.5774937,2.7426906,ZNF207
ENSG00000010256,2.1259813,2.5428338,1.9006534,UQCRC1
ENSG00000010270,0.7257398,0.41121265,0.33446166,STARD3NL
ENSG00000010278,2.005811,0.14019674,0.11146333,CD9
ENSG00000010292,1.323647,0.56380403,0.45299008,NCAPD2
ENSG00000010295,0.102455534,,,IFFO1
ENSG00000010318,,0.27671248,0.23737532,PHF7
ENSG00000010322,0.122912645,0.23856689,0.1853439,NISCH
ENSG00000010404,0.9155831,0.09773831,,IDS
ENSG00000010539,,0.14857975,0.11822887,ZNF200
ENSG00000010626,0.19550827,,,LRRC23
ENSG00000010671,,0.73718935,0.6845212,BTK
ENSG00000010803,0.13685453,0.4669248,0.3404083,SCMH1
ENSG00000010810,0.5722577,0.17957097,0.19498964,FYN
ENSG00000010818,0.17462108,,,HIVEP2
ENSG00000011007,0.58233243,0.8762953,0.5870968,ELOA
ENSG00000011009,0.55546826,0.5284809,0.45771217,LYPLA2
ENSG00000011021,,0.13860199,0.102945074,CLCN6
ENSG00000011028,0.31793627,,,MRC2
ENSG00000011105,0.1145415,,,TSPAN9
ENSG00000011114,0.6085368,0.36596042,0.26264688,BTBD7
ENSG00000011143,,0.17894334,0.15439883,MKS1
ENSG00000011198,0.53361815,0.8217045,0.63055176,ABHD5
ENSG00000011201,0.11390883,,,ANOS1
ENSG00000011243,0.33908582,0.8635978,0.7153807,AKAP8L
ENSG00000011258,,0.26717487,0.2539403,MBTD1
ENSG00000011260,0.79488105,1.3971432,0.9936985,UTP18
ENSG00000011275,0.6453826,0.70428467,0.53428096,RNF216
ENSG00000011295,0.7555373,0.6171124,0.52990615,TTC19
ENSG00000011304,1.2312651,2.9924128,2.1654112,PTBP1
ENSG00000011332,,0.115462154,,DPF1
ENSG00000011376,0.14557241,0.3724807,0.27994245,LARS2
ENSG00000011405,0.63327795,0.3276676,0.23253067,PIK3C2A
ENSG00000011422,1.8274512,0.15279713,0.13243236,PLAUR
ENSG00000011426,2.5387993,0.61624974,0.4499014,ANLN
ENSG00000011451,0.3017819,0.32421887,0.2415728,WIZ
ENSG00000011454,0.361314,0.21373858,0.16850673,RABGAP1
ENSG00000011485,0.55186033,0.8415535,0.6043951,PPP5C
ENSG00000011523,,0.20635502,0.2196973,CEP68
ENSG00000011566,0.30664,0.19114062,0.14669676,MAP4K3
ENSG00000011600,,,0.09874007,TYROBP
ENSG00000011638,,0.1789024,0.18563278,TMEM159
ENSG00000012048,0.9024929,1.336466,1.0811234,BRCA1
ENSG00000012061,1.2427679,0.5861237,0.5803989,ERCC1
ENSG00000012174,0.22390696,0.17325936,0.14215636,MBTPS2
ENSG00000012211,,0.11274866,,PRICKLE3
ENSG00000012232,0.13293959,0.20302364,0.15739799,EXTL3
ENSG00000012660,0.40146562,0.9014049,0.71732897,ELOVL5
ENSG00000012822,0.13112406,,,CALCOCO1
ENSG00000012963,0.32013926,0.3369856,0.24477766,UBR7
ENSG00000012983,1.0200958,0.32435182,0.24970844,MAP4K5
ENSG00000013016,0.147812,,,EHD3
ENSG00000013275,1.5043342,1.8034269,1.2710443,PSMC4
ENSG00000013288,0.14378695,,,MAN2B2
ENSG00000013306,1.4059879,1.6977878,1.3744291,SLC25A39
ENSG00000013364,0.6532595,,,MVP
ENSG00000013374,0.69341403,0.6709757,0.6017175,NUB1
ENSG00000013375,0.76324177,0.6040774,0.49166238,PGM3
ENSG00000013392,0.10919966,,,RWDD2A
ENSG00000013441,0.18649884,0.33601484,0.2468702,CLK1
ENSG00000013503,0.18176703,0.35127702,0.26956704,POLR3B
ENSG00000013561,0.26111317,0.3702327,0.2809407,RNF14
ENSG00000013563,0.19462413,,,DNASE1L1
ENSG00000013573,0.39615777,0.3494064,0.258185,DDX11
ENSG00000013583,1.4293617,,,HEBP1
ENSG00000013588,2.4921284,,,GPRC5A
ENSG00000013810,1.0265627,0.8577886,0.69061714,TACC3
ENSG00000014123,0.632649,0.656865,0.5756267,UFL1
ENSG00000014138,0.34679726,0.41890702,0.32523972,POLA2
ENSG00000014164,,0.11852336,,ZC3H3
ENSG00000014216,0.70180255,0.7009224,0.6554131,CAPN1
ENSG00000014641,2.21378,2.375386,2.032971,MDH1
ENSG00000014824,0.70405936,0.5773308,0.47216886,SLC30A9
ENSG00000014919,0.4112638,0.26233277,0.2143457,COX15
ENSG00000015133,,0.16222224,0.1444576,CCDC88C
ENSG00000015153,0.279429,0.4807594,0.37546846,YAF2
ENSG00000015171,0.5920372,0.26074174,0.19199882,ZMYND11
ENSG00000015285,,0.4924507,0.4677447,WAS
ENSG00000015475,0.70238495,1.6979146,1.3446255,BID
ENSG00000015479,,0.16149259,0.117921576,MATR3
ENSG00000015532,0.12169657,,,XYLT2
ENSG00000015676,0.41104046,0.3437604,0.26456174,NUDCD3
ENSG00000016391,,0.13589852,0.121225305,CHDH
ENSG00000016490,,0.43674347,0.40096733,CLCA1
ENSG00000016864,0.661783,0.34165227,0.30181482,GLT8D1
ENSG00000017260,0.70955324,0.33650306,0.26683,ATP2C1
ENSG00000017483,,0.64809245,0.4252972,SLC38A5
ENSG00000017797,1.5245914,1.1419432,0.94834757,RALBP1
ENSG00000018189,0.47234544,0.39616126,0.29878512,RUFY3
ENSG00000018408,2.2917175,,,WWTR1
ENSG00000018510,0.64579123,0.76057523,0.5782308,AGPS
ENSG00000018610,,0.19623242,0.15331696,CXorf56
ENSG00000018699,0.17772034,0.40196282,0.30099207,TTC27
ENSG00000019144,0.39445364,,,PHLDB1
ENSG00000019549,0.11015217,,,SNAI2
ENSG00000019995,0.6427859,,,ZRANB1
ENSG00000020129,0.13938764,0.26029712,0.17688276,NCDN
ENSG00000020256,0.10663355,,,ZFP64
ENSG00000020426,0.78773093,0.54874414,0.4368408,MNAT1
ENSG00000020577,0.1555428,,,SAMD4A
ENSG00000020922,0.37175292,0.6578093,0.594423,MRE11
ENSG00000021355,,0.97410506,1.0514061,SERPINB1
ENSG00000021574,0.1858851,0.3876621,0.3131861,SPAST
ENSG00000021776,0.46548504,0.54026777,0.3959519,AQR
ENSG00000021826,0.12948032,,,CPS1
ENSG00000022277,1.4150885,1.7016808,1.2494252,RTF2
ENSG00000022556,,0.5442907,0.5181166,NLRP2
ENSG00000022840,0.7207407,0.8741014,0.66136634,RNF10
ENSG00000022976,0.13163131,,,ZNF839
ENSG00000023041,0.5195202,0.33968595,0.23302646,ZDHHC6
ENSG00000023191,2.0378299,0.7797132,0.5921465,RNH1
ENSG00000023228,0.948326,1.4887553,1.1183163,NDUFS1
ENSG00000023287,1.1320492,0.89004433,0.81173295,RB1CC1
ENSG00000023318,0.43157566,1.175398,1.0215138,ERP44
ENSG00000023330,0.20457956,0.38986686,0.32272744,ALAS1
ENSG00000023516,0.59283346,0.66614705,0.55447525,AKAP11
ENSG00000023572,0.9958218,1.3976004,0.9604653,GLRX2
ENSG00000023608,0.51013863,0.12265415,,SNAPC1
ENSG00000023697,1.2669811,0.34415153,0.34093195,DERA
ENSG00000023734,4.674842,2.540179,1.7136072,STRAP
ENSG00000023892,,0.19405815,0.21253572,DEF6
ENSG00000023902,0.74579644,0.12644671,0.13285817,PLEKHO1
ENSG00000023909,0.72515815,1.1569207,0.5718066,GCLM
ENSG00000024048,0.3301819,0.6082937,0.48526946,UBR2
ENSG00000024422,0.93745404,,,EHD2
ENSG00000024526,1.12499,0.40771103,0.33467925,DEPDC1
ENSG00000024862,0.120983355,0.19095922,0.18203823,CCDC28A
ENSG00000025039,,0.14214663,0.12000131,RRAGD
ENSG00000025156,0.17262131,0.32376534,0.25989136,HSF2
ENSG00000025293,0.6744264,0.9528371,0.81417894,PHF20
ENSG00000025708,,0.2577912,0.23783891,TYMP
ENSG00000025770,0.32517517,0.5924208,0.40971658,NCAPH2
ENSG00000025772,0.9226308,0.47602326,0.37775633,TOMM34
ENSG00000025796,1.102009,1.4574206,1.2825639,SEC63
ENSG00000025800,0.6857271,1.3157598,0.9622625,KPNA6
ENSG00000026025,112.49739,10.379452,10.252841,VIM
ENSG00000026103,0.37366304,,,FAS
ENSG00000026297,0.16012387,0.40691462,0.5814773,RNASET2
ENSG00000026508,5.8961687,,,CD44
ENSG00000026652,0.17367549,0.2781419,0.23748487,AGPAT4
ENSG00000027001,0.16656762,0.13499688,0.11015085,MIPEP
ENSG00000027697,0.20027876,0.34375384,0.31120545,IFNGR1
ENSG00000027847,0.42199516,0.16049823,0.14367245,B4GALT7
ENSG00000028116,0.26082516,0.34864748,0.27549148,VRK2
ENSG00000028203,0.6047619,0.3494756,0.26527566,VEZT
ENSG00000028310,0.4645644,0.63995,0.5063225,BRD9
ENSG00000028528,0.5089888,0.5891267,0.5139562,SNX1
ENSG00000028839,0.4238997,1.3021519,0.8951003,TBPL1
ENSG00000029153,0.52566046,0.13545874,0.104820415,ARNTL2
ENSG00000029363,3.0107477,4.0457964,2.8763707,BCLAF1
ENSG00000029364,0.19911018,0.18145643,0.12440818,SLC39A9
ENSG00000029534,,0.6804351,0.5136717,ANK1
ENSG00000029639,0.3155811,0.38883033,0.31596237,TFB1M
ENSG00000029725,0.84207016,0.5682192,0.3924904,RABEP1
ENSG00000029993,1.3235443,0.7719609,0.68462294,HMGB3
ENSG00000030066,0.255702,0.9117652,0.6742501,NUP160
ENSG00000030110,0.18102986,0.26677713,0.20300378,BAK1
ENSG00000030582,0.9447317,0.6905508,0.7047075,GRN
ENSG00000031003,0.26293632,0.25356442,0.19529223,FAM13B
ENSG00000031691,0.23461531,0.1843482,0.14506276,CENPQ
ENSG00000031698,1.029603,1.4424419,1.3235706,SARS
ENSG00000031823,0.3441425,0.36630437,0.2885939,RANBP3
ENSG00000032219,0.231664,0.2468637,0.23043358,ARID4A
ENSG00000032389,0.29229125,0.43705776,0.3829284,EIPR1
ENSG00000032444,0.20346572,0.13393597,0.117944755,PNPLA6
ENSG00000032742,0.31595373,0.17264012,0.14062448,IFT88
ENSG00000033011,0.23522173,0.21523005,0.16544065,ALG1
ENSG00000033030,0.20533858,0.52482253,0.51105595,ZCCHC8
ENSG00000033050,0.77097595,1.0808825,0.80776817,ABCF2
ENSG00000033100,0.39576417,,,CHPF2
ENSG00000033170,1.9505445,0.36868107,0.33456466,FUT8
ENSG00000033178,0.79905164,0.94034296,0.72265804,UBA6
ENSG00000033327,,0.18192942,0.1396183,GAB2
ENSG00000033627,0.27275655,1.1802633,1.0484809,ATP6V0A1
ENSG00000033800,0.373748,0.64185804,0.50459737,PIAS1
ENSG00000033867,1.2887236,0.35730535,0.29334322,SLC4A7
ENSG00000034053,0.10594169,0.16540654,0.14978729,APBA2
ENSG00000034152,0.5331078,,,MAP2K3
ENSG00000034510,56.581608,2.7126927,2.9934647,TMSB10
ENSG00000034677,0.36427742,0.19166256,0.1543248,RNF19A
ENSG00000034693,0.20204505,0.23558438,0.16649503,PEX3
ENSG00000034713,1.65053,1.9776874,1.5462477,GABARAPL2
ENSG00000035115,0.22176506,,,SH3YL1
ENSG00000035141,1.414104,2.8668017,1.9457618,FAM136A
ENSG00000035403,6.054179,0.9938233,0.8650452,VCL
ENSG00000035499,0.21737412,0.3731717,0.29411453,DEPDC1B
ENSG00000035681,0.22883885,0.71545726,0.6697766,NSMAF
ENSG00000035687,0.90080845,1.3697172,1.1159452,ADSS
ENSG00000035862,1.9018962,,,TIMP2
ENSG00000035928,1.7358176,1.3235061,1.1141347,RFC1
ENSG00000036054,0.5167533,0.644492,0.53033316,TBC1D23
ENSG00000036257,1.5158461,1.640767,1.1823688,CUL3
ENSG00000036549,0.54174346,0.5165257,0.389951,AC118549.1
ENSG00000036672,,0.1344585,0.10931443,USP2
ENSG00000037241,1.6527193,1.6155317,1.1424525,RPL26L1
ENSG00000037474,0.42113528,1.2352278,0.8101959,NSUN2
ENSG00000037637,0.16133982,0.20953359,0.16436584,FBXO42
ENSG00000037757,0.18636994,0.23567769,0.18949951,MRI1
ENSG00000037897,0.25251868,0.29638585,0.19876568,METTL1
ENSG00000037965,,0.13102002,0.10630197,HOXC8
ENSG00000038002,0.20243606,,,AGA
ENSG00000038210,0.20483169,0.20206626,0.18028001,PI4K2B
ENSG00000038219,1.4346403,1.1920638,1.0661262,BOD1L1
ENSG00000038274,0.26545107,0.3142512,0.2463411,MAT2B
ENSG00000038358,0.19337362,0.41739854,0.31548527,EDC4
ENSG00000038382,0.8817264,0.15452708,0.12180061,TRIO
ENSG00000038427,7.4304223,,,VCAN
ENSG00000039123,0.64251333,1.4160196,1.0431999,MTREX
ENSG00000039319,0.5112992,0.5720867,0.45935637,ZFYVE16
ENSG00000039523,0.35558417,,,RIPOR1
ENSG00000039560,3.0487053,0.4994359,0.38333187,RAI14
ENSG00000039650,0.4937726,0.41976044,0.3408813,PNKP
ENSG00000040275,1.0931381,0.9608043,0.6471183,SPDL1
ENSG00000040341,0.30292955,0.6507762,0.521221,STAU2
ENSG00000040487,0.1577419,,,SLC66A1
ENSG00000040633,0.5760278,0.6828785,0.45369962,PHF23
ENSG00000040731,0.114142776,,,CDH10
ENSG00000040933,,0.16864133,0.13562547,INPP4A
ENSG00000041353,0.13600744,,,RAB27B
ENSG00000041357,3.012755,6.36578,4.395705,PSMA4
ENSG00000041802,0.43809634,0.6334781,0.44151685,LSG1
ENSG00000041880,0.13214365,,,PARP3
ENSG00000041982,0.12639977,,,TNC
ENSG00000041988,0.19503571,0.20352146,0.14394942,THAP3
ENSG00000042062,,0.18749745,0.17166506,RIPOR3
ENSG00000042088,0.22698282,0.17820135,0.15065506,TDP1
ENSG00000042286,0.33775616,0.22897376,0.15163521,AIFM2
ENSG00000042317,0.117260225,,,SPATA7
ENSG00000042429,0.37083468,0.44055474,0.33901507,MED17
ENSG00000042445,0.14853886,0.18460283,0.14917223,RETSAT
ENSG00000042493,,0.35710204,0.51847243,CAPG
ENSG00000042753,8.892256,3.6834989,2.8944414,AP2S1
ENSG00000043093,0.4125194,0.7431386,0.5755069,DCUN1D1
ENSG00000043143,0.21275523,,,JADE2
ENSG00000043355,,0.37975174,0.29488206,ZIC2
ENSG00000043462,,0.10269282,0.12203651,LCP2
ENSG00000043514,0.20014907,0.71672547,0.58905345,TRIT1
ENSG00000044115,2.125753,0.5888127,0.52011365,CTNNA1
ENSG00000044459,0.3714723,,,CNTLN
ENSG00000044574,11.459666,5.430002,4.3566833,HSPA5
ENSG00000046604,1.3290176,0.87782586,0.7030874,DSG2
ENSG00000046647,0.1123362,0.14718144,0.132855,GEMIN8
ENSG00000046651,0.36152032,0.4744016,0.4025501,OFD1
ENSG00000047056,0.12582894,,,WDR37
ENSG00000047188,0.31697908,0.44038752,0.34945127,YTHDC2
ENSG00000047230,0.14822516,,,CTPS2
ENSG00000047249,0.6123452,0.6207873,0.54672,ATP6V1H
ENSG00000047315,1.0072613,1.6871421,1.2151778,POLR2B
ENSG00000047346,0.13544448,,,FAM214A
ENSG00000047365,0.13559125,,,ARAP2
ENSG00000047410,3.4571955,5.043634,4.25276,TPR
ENSG00000047579,0.24357153,0.7126116,0.5416077,DTNBP1
ENSG00000047597,,0.21162497,0.18237329,XK
ENSG00000047621,0.33611014,0.151829,0.11072307,C12orf4
ENSG00000047634,0.18528955,,,SCML1
ENSG00000047644,0.3337281,,,WWC3
ENSG00000047648,,0.36642876,0.32230973,ARHGAP6
ENSG00000047849,3.2371879,1.6901948,1.4736532,MAP4
ENSG00000047932,0.75911885,0.66853493,0.51471037,GOPC
ENSG00000048028,0.20403597,0.24943963,0.17578012,USP28
ENSG00000048052,0.12452507,,,HDAC9
ENSG00000048140,0.30707484,0.19307572,0.15783083,TSPAN17
ENSG00000048162,0.57562023,1.6084851,1.0818272,NOP16
ENSG00000048342,0.29591054,,,CC2D2A
ENSG00000048392,0.19853838,0.17189957,0.15538515,RRM2B
ENSG00000048405,0.3916829,0.6414198,0.51400024,ZNF800
ENSG00000048471,0.13615447,0.11544056,,SNX29
ENSG00000048544,1.2270266,1.3013458,0.90885925,MRPS10
ENSG00000048649,1.1642529,1.5428939,1.3916163,RSF1
ENSG00000048707,0.23706299,0.23116845,0.20714697,VPS13D
ENSG00000048740,,2.9794042,2.5030153,CELF2
ENSG00000048828,1.2552959,0.7340496,0.5019628,FAM120A
ENSG00000048991,0.5375968,0.81311685,0.62783444,R3HDM1
ENSG00000049130,0.3026745,,,KITLG
ENSG00000049167,0.120332085,0.22088838,0.16035417,ERCC8
ENSG00000049192,0.5401193,,,ADAMTS6
ENSG00000049245,0.9172729,0.37484887,0.31284174,VAMP3
ENSG00000049246,0.13429594,0.15135142,0.11599396,PER3
ENSG00000049323,0.80182076,0.4555489,0.37332812,LTBP1
ENSG00000049449,1.7814125,0.20773956,0.22466642,RCN1
ENSG00000049541,0.7812214,1.2545147,0.93994004,RFC2
ENSG00000049618,0.6548265,1.1622583,0.8909428,ARID1B
ENSG00000049656,1.1093699,1.9624908,1.33126,CLPTM1L
ENSG00000049759,0.9064444,,,NEDD4L
ENSG00000049860,1.0062195,0.36491495,0.35129318,HEXB
ENSG00000049883,0.12830748,0.29429713,0.21979834,PTCD2
ENSG00000050130,0.607179,0.25494224,0.19227147,JKAMP
ENSG00000050165,1.040007,,,DKK3
ENSG00000050344,0.14587224,0.21352282,0.20220597,NFE2L3
ENSG00000050393,0.9561936,1.4438772,1.0368984,MCUR1
ENSG00000050405,1.806551,0.2097897,0.21410345,LIMA1
ENSG00000050426,0.18177153,0.5666605,0.54405206,LETMD1
ENSG00000050628,,0.11374033,,PTGER3
ENSG00000050748,0.4530444,0.41125128,0.3023359,MAPK9
ENSG00000050767,,,0.10561384,COL23A1
ENSG00000050820,0.58744454,0.14729714,0.115188874,BCAR1
ENSG00000051108,0.64420307,0.4285139,0.52675295,HERPUD1
ENSG00000051128,1.5214908,0.12411814,0.1521191,HOMER3
ENSG00000051180,0.24744721,0.29672074,0.2306555,RAD51
ENSG00000051341,0.25715235,0.41115648,0.31790417,POLQ
ENSG00000051382,0.2851958,0.64108807,0.57540125,PIK3CB
ENSG00000051523,,3.8749452,3.6658425,CYBA
ENSG00000051596,0.17412421,0.8576742,0.66341215,THOC3
ENSG00000051620,2.291553,1.4476011,1.2235596,HEBP2
ENSG00000051825,0.4831639,0.71803594,0.56787825,MPHOSPH9
ENSG00000052126,1.0227071,0.596716,0.5641991,PLEKHA5
ENSG00000052723,0.3719582,0.8984774,0.6629357,SIKE1
ENSG00000052749,0.3431748,0.45200998,0.28213218,RRP12
ENSG00000052795,0.4458839,0.5944606,0.41048855,FNIP2
ENSG00000052802,0.28978622,0.55435425,0.40332523,MSMO1
