pathway,pvalue,overlap_count,overlap_genes,contrast,missing_from
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.022456939120417966,12,"C5AR1,BDKRB1,PROC,F10,C8G,F5,KLKB1,C9,MASP2,C7,F2,SERPINF2",H2O2_Stress,K562_GWPS
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.022588062055596565,13,"MT-CO2,COX6B2,MT-CO3,CACNA2D4,CACNG7,SLC8A1,CACNG6,MT-CO1,MT-CYB,CACNA1C,ATP1A4,COX4I2,ATP1B1",H2O2_Stress,K562_GWPS
KEGG_ECM_RECEPTOR_INTERACTION,0.042578865327055376,13,"ITGB7,ITGB6,COL11A2,ITGA9,GP5,ITGA1,ITGA4,LAMA2,ITGA10,LAMA3,ITGB8,LAMA4,COL4A6",H2O2_Stress,K562_GWPS
KEGG_MELANOGENESIS,0.04262651382380416,15,"ADCY5,KITLG,MC1R,WNT3,WNT3A,FZD7,WNT7B,PRKCG,FZD1,PLCB2,CAMK2A,WNT8B,ADCY6,ASIP,ADCY8",H2O2_Stress,K562_GWPS
KEGG_OXIDATIVE_PHOSPHORYLATION,0.048349150096709176,18,"MT-CO2,MT-ND4L,MT-ATP8,MT-ND5,MT-CO3,MT-ND2,COX6B2,MT-ND1,ATP4A,ATP6V1C2,MT-ATP6,NDUFA4L2,MT-ND6,MT-CO1,MT-CYB,COX4I2,MT-ND3,MT-ND4",H2O2_Stress,K562_GWPS
KEGG_BASAL_CELL_CARCINOMA,0.06197513204835676,9,"WNT3,SHH,WNT3A,FZD7,WNT7B,PTCH1,PTCH2,FZD1,WNT8B",H2O2_Stress,K562_GWPS
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.06352916583501012,5,"EGFR,SPIRE2,SOS2,PIWIL2,NOTCH1",H2O2_Stress,K562_GWPS
KEGG_PHENYLALANINE_METABOLISM,0.07681086783180963,4,"AOC2,ALDH3A1,AOC3,TAT",H2O2_Stress,K562_GWPS
KEGG_GNRH_SIGNALING_PATHWAY,0.07836641230352287,14,"MAPK7,ADCY5,EGFR,PRKCD,PLA2G12B,CAMK2A,SOS2,GNRH2,MAP2K6,PLCB2,CACNA1C,HBEGF,ADCY6,ADCY8",H2O2_Stress,K562_GWPS
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.08460241195975211,5,"FUT3,GCNT2,ST3GAL6,FUT6,B3GNT4",H2O2_Stress,K562_GWPS
