gene_symbol,ensembl_gene_id
H2BC11,ENSG00000124635
H2BC12,ENSG00000197903
H2BC12L,ENSG00000234289
H2BC13,ENSG00000185130
H2BC14,ENSG00000273703
H2BC15,ENSG00000233822
H2BC17,ENSG00000274641
H2BC21,ENSG00000184678
H2BC3,ENSG00000276410
H2BC4,ENSG00000180596
H2BC5,ENSG00000158373
H2BC6,ENSG00000274290
H2BC7,ENSG00000277224
H2BC8,ENSG00000273802
H2BC9,ENSG00000275713
H3-3A,ENSG00000163041
H3-3B,ENSG00000132475
H3C1,ENSG00000275714
H3C10,ENSG00000278828
H3C11,ENSG00000275379
H3C12,ENSG00000197153
H3C13,ENSG00000183598
H3C14,ENSG00000203811
H3C15,ENSG00000203852
H3C2,ENSG00000286522
H3C3,ENSG00000287080
H3C4,ENSG00000197409
H3C6,ENSG00000274750
H3C7,ENSG00000277775
H3C8,ENSG00000273983
H4C1,ENSG00000278637
H4C11,ENSG00000197238
H4C12,ENSG00000273542
H4C13,ENSG00000275126
H4C14,ENSG00000270882
H4C15,ENSG00000270276
H4C2,ENSG00000278705
H4C3,ENSG00000197061
H4C4,ENSG00000277157
H4C5,ENSG00000276966
H4C6,ENSG00000274618
H4C8,ENSG00000158406
H4C9,ENSG00000276180
HGF,ENSG00000019991
HMGA2,ENSG00000149948
HMGB1,ENSG00000189403
ICAM1,ENSG00000090339
ICAM3,ENSG00000076662
IGF1,ENSG00000017427
IGFBP1,ENSG00000146678
IGFBP2,ENSG00000115457
IGFBP3,ENSG00000146674
IGFBP4,ENSG00000141753
IGFBP5,ENSG00000115461
IGFBP6,ENSG00000167779
IGFBP7,ENSG00000163453
IL10,ENSG00000136634
IL13,ENSG00000169194
IL15,ENSG00000164136
IL18,ENSG00000150782
IL1A,ENSG00000115008
IL1B,ENSG00000125538
IL2,ENSG00000109471
IL32,ENSG00000008517
IL6,ENSG00000136244
IL6ST,ENSG00000134352
IL7,ENSG00000104432
INHA,ENSG00000123999
IQGAP2,ENSG00000145703
ITGA2,ENSG00000164171
ITPKA,ENSG00000137825
JUN,ENSG00000177606
KITLG,ENSG00000049130
LCP1,ENSG00000136167
LMNB1,ENSG00000113368
MAP3K3,ENSG00000198909
MAPK1,ENSG00000100030
MAPK3,ENSG00000102882
MAPK7,ENSG00000166484
MIF,ENSG00000240972
MMP1,ENSG00000196611
MMP10,ENSG00000166670
MMP12,ENSG00000262406
MMP13,ENSG00000137745
MMP14,ENSG00000157227
MMP2,ENSG00000087245
MMP3,ENSG00000149968
MMP9,ENSG00000100985
NAP1L4,ENSG00000205531
NFKB1,ENSG00000109320
NRG1,ENSG00000157168
PAPPA,ENSG00000182752
PECAM1,ENSG00000261371
PGF,ENSG00000119630
PIGF,ENSG00000151665
PLAT,ENSG00000104368
PLAU,ENSG00000122861
PLAUR,ENSG00000011422
PTBP1,ENSG00000011304
PTEN,ENSG00000171862
PTGER2,ENSG00000125384
PTGES,ENSG00000148344
RB1,ENSG00000139687
RBL1,ENSG00000080839
RELA,ENSG00000173039
RPS27A,ENSG00000143947
RPS6KA1,ENSG00000117676
RPS6KA2,ENSG00000071242
RPS6KA3,ENSG00000177189
RPS6KA5,ENSG00000100784
SCAMP4,ENSG00000227500
SELPLG,ENSG00000110876
SEMA3F,ENSG00000001617
SERPINB4,ENSG00000206073
SERPINE1,ENSG00000106366
SERPINE2,ENSG00000135919
SIRT1,ENSG00000096717
SIRT6,ENSG00000077463
SPP1,ENSG00000118785
SPX,ENSG00000134548
STAT3,ENSG00000168610
TBX2,ENSG00000121068
TERF2,ENSG00000132604
TERT,ENSG00000164362
TIMP2,ENSG00000035862
TNF,ENSG00000232810
TNFRSF10C,ENSG00000173535
TNFRSF11B,ENSG00000164761
TNFRSF1A,ENSG00000067182
TNFRSF1B,ENSG00000028137
TP53,ENSG00000141510
TUBGCP2,ENSG00000130640
TWIST1,ENSG00000122691
UBA52,ENSG00000221983
UBB,ENSG00000170315
UBC,ENSG00000150991
UBE2C,ENSG00000175063
UBE2D1,ENSG00000072401
UBE2E1,ENSG00000170142
UBE2S,ENSG00000108106
VEGFA,ENSG00000112715
VEGFC,ENSG00000150630
VENTX,ENSG00000151650
VGF,ENSG00000128564
WNT1,ENSG00000125084
WNT16,ENSG00000002745
WNT2,ENSG00000105989
YBX1,ENSG00000065978
ZKSCAN3,ENSG00000189298
