gene_symbol,ensembl_gene_id
LGALS3,ENSG00000131981
LGMN,ENSG00000100600
LIF,ENSG00000128342
LIPA,ENSG00000107798
LITAF,ENSG00000189067
LPAR1,ENSG00000198121
LRP1,ENSG00000123384
LTA,ENSG00000226979
LTA4H,ENSG00000111144
LTB,ENSG00000227507
LTBR,ENSG00000111321
LTF,ENSG00000012223
LY6E,ENSG00000160932
LYN,ENSG00000254087
MAFF,ENSG00000185022
MAP2K3,ENSG00000034152
MAP3K8,ENSG00000107968
MARCKS,ENSG00000277443
MARCO,ENSG00000019169
MCL1,ENSG00000143384
ME1,ENSG00000065833
MEFV,ENSG00000103313
MEP1A,ENSG00000112818
MET,ENSG00000105976
MMP12,ENSG00000262406
MMP13,ENSG00000137745
MMP14,ENSG00000157227
MMP15,ENSG00000102996
MMP8,ENSG00000118113
MSC,ENSG00000178860
MSR1,ENSG00000038945
MSRB1,ENSG00000198736
MT3,ENSG00000087250
MXD1,ENSG00000059728
MYC,ENSG00000136997
MYD88,ENSG00000172936
NAMPT,ENSG00000105835
NDP,ENSG00000124479
NFAT5,ENSG00000102908
NFE2L2,ENSG00000116044
NFIL3,ENSG00000165030
NFKB1,ENSG00000109320
NFKB2,ENSG00000077150
NFKBIA,ENSG00000100906
NFKBIE,ENSG00000146232
NINJ1,ENSG00000131669
NLRP3,ENSG00000162711
NMI,ENSG00000123609
NMUR1,ENSG00000171596
NOD2,ENSG00000167207
NOTCH4,ENSG00000204301
NPFFR2,ENSG00000056291
NR4A1,ENSG00000123358
NR4A2,ENSG00000153234
NR4A3,ENSG00000119508
OLR1,ENSG00000173391
OPRK1,ENSG00000082556
OSM,ENSG00000099985
OSMR,ENSG00000145623
P2RX4,ENSG00000135124
P2RX7,ENSG00000089041
P2RY2,ENSG00000175591
PANX1,ENSG00000110218
PCDH7,ENSG00000169851
PCLO,ENSG00000186472
PCSK9,ENSG00000169174
PDE4B,ENSG00000184588
PDGFB,ENSG00000100311
PDGFC,ENSG00000145431
PDLIM5,ENSG00000163110
PDP1,ENSG00000164951
PDPN,ENSG00000162493
PER1,ENSG00000179094
PF4,ENSG00000163737
PFKFB3,ENSG00000170525
PFN1,ENSG00000108518
PHEX,ENSG00000102174
PHLDA1,ENSG00000139289
PHLDA2,ENSG00000181649
PIK3CA,ENSG00000121879
PIK3CG,ENSG00000105851
PIK3R5,ENSG00000141506
PIM1,ENSG00000137193
PLA2G2A,ENSG00000188257
PLA2G4A,ENSG00000116711
PLA2G7,ENSG00000146070
PLAT,ENSG00000104368
PLAU,ENSG00000122861
PLAUR,ENSG00000011422
PLEK,ENSG00000115956
PLG,ENSG00000122194
PLK2,ENSG00000145632
PLPP3,ENSG00000162407
PLSCR1,ENSG00000188313
PMEPA1,ENSG00000124225
PNRC1,ENSG00000146278
PPP1R15A,ENSG00000087074
PPP2CB,ENSG00000104695
PPP4C,ENSG00000149923
PRCP,ENSG00000137509
PRDM4,ENSG00000110851
PREP,ENSG00000085377
PRKCD,ENSG00000163932
PROK2,ENSG00000163421
PRSS3,ENSG00000010438
PRSS36,ENSG00000178226
PSEN1,ENSG00000080815
PSMB9,ENSG00000240065
PTAFR,ENSG00000169403
PTGER2,ENSG00000125384
PTGER4,ENSG00000171522
PTGIR,ENSG00000160013
PTGS2,ENSG00000073756
PTPN1,ENSG00000196396
PTPN11,ENSG00000179295
PTPN2,ENSG00000175354
PTPRE,ENSG00000132334
PTX3,ENSG00000163661
PVR,ENSG00000073008
RABIF,ENSG00000183155
RAF1,ENSG00000132155
RASGRP1,ENSG00000172575
RBSN,ENSG00000131381
RCAN1,ENSG00000159200
RCE1,ENSG00000173653
REG1A,ENSG00000115386
REL,ENSG00000162924
RELA,ENSG00000173039
RELB,ENSG00000104856
RGS1,ENSG00000090104
RGS16,ENSG00000143333
RHOB,ENSG00000143878
RHOG,ENSG00000177105
RIPK2,ENSG00000104312
RNF144B,ENSG00000137393
RNF19B,ENSG00000116514
RNF4,ENSG00000063978
ROS1,ENSG00000047936
RTP4,ENSG00000136514
S100A12,ENSG00000163221
S100A13,ENSG00000189171
S100A9,ENSG00000163220
SAT1,ENSG00000130066
SCARF1,ENSG00000074660
SCG3,ENSG00000104112
SCN1B,ENSG00000105711
SDC4,ENSG00000124145
SELE,ENSG00000007908
SELENOS,ENSG00000131871
SELL,ENSG00000188404
SEMA4D,ENSG00000187764
SERPINA1,ENSG00000197249
SERPINB2,ENSG00000197632
SERPINB8,ENSG00000166401
SERPINC1,ENSG00000117601
SERPINE1,ENSG00000106366
SERPING1,ENSG00000149131
SGK1,ENSG00000118515
SGMS2,ENSG00000164023
SH2B3,ENSG00000111252
SIK1,ENSG00000142178
SIRT6,ENSG00000077463
SLAMF1,ENSG00000117090
SLC11A2,ENSG00000110911
SLC16A6,ENSG00000108932
SLC1A2,ENSG00000110436
SLC28A2,ENSG00000137860
SLC2A3,ENSG00000059804
SLC2A6,ENSG00000160326
SLC31A1,ENSG00000136868
SLC31A2,ENSG00000136867
SLC4A4,ENSG00000080493
SLC7A1,ENSG00000139514
SLC7A2,ENSG00000003989
SMAD3,ENSG00000166949
SNN,ENSG00000184602
SOCS1,ENSG00000185338
SOCS3,ENSG00000184557
SPHK1,ENSG00000176170
SPOCK2,ENSG00000107742
SPSB1,ENSG00000171621
SQSTM1,ENSG00000161011
SRC,ENSG00000197122
SRI,ENSG00000075142
STAB1,ENSG00000010327
STAM2,ENSG00000115145
STAT1,ENSG00000115415
STAT2,ENSG00000170581
STAT3,ENSG00000168610
STAT5A,ENSG00000126561
STX4,ENSG00000103496
TACR1,ENSG00000115353
TACR3,ENSG00000169836
TANK,ENSG00000136560
TAP1,ENSG00000168394
TAPBP,ENSG00000231925
TFPI2,ENSG00000105825
TGFB1,ENSG00000105329
TGIF1,ENSG00000177426
TIMP1,ENSG00000102265
TIMP2,ENSG00000035862
TIPARP,ENSG00000163659
TLR1,ENSG00000174125
TLR2,ENSG00000137462
TLR3,ENSG00000164342
TMPRSS6,ENSG00000187045
TNC,ENSG00000041982
TNF,ENSG00000232810
TNFAIP2,ENSG00000185215
TNFAIP3,ENSG00000118503
TNFAIP6,ENSG00000123610
TNFAIP8,ENSG00000145779
TNFRSF12A,ENSG00000006327
TNFRSF1A,ENSG00000067182
TNFRSF1B,ENSG00000028137
TNFRSF21,ENSG00000146072
TNFRSF9,ENSG00000049249
TNFSF10,ENSG00000121858
TNFSF15,ENSG00000181634
TNFSF9,ENSG00000125657
TNIP1,ENSG00000145901
TNIP2,ENSG00000168884
TPBG,ENSG00000146242
TRAF1,ENSG00000056558
TRIB1,ENSG00000173334
TRIP10,ENSG00000125733
TSC22D1,ENSG00000102804
TUBB2A,ENSG00000137267
TYK2,ENSG00000105397
USP14,ENSG00000101557
USP15,ENSG00000135655
USP16,ENSG00000156256
USP8,ENSG00000138592
VCPIP1,ENSG00000175073
VEGFA,ENSG00000112715
VIP,ENSG00000146469
WAS,ENSG00000015285
XPNPEP1,ENSG00000108039
YRDC,ENSG00000196449
ZBTB10,ENSG00000205189
ZC3H12A,ENSG00000163874
ZEB1,ENSG00000148516
ZFP36,ENSG00000128016
ZFPM2,ENSG00000169946
